,rotten_tomatoes_link,movie_title,year_of_release,year_of_streaming_release,tomatometer_status,audience_status,genre_list
240,m/10011303-helen,Helen,2008,2016,Fresh,Spilled,['Drama']
241,m/10011304-thirst,Bakjwi (Thirst),2009,2016,Certified-Fresh,Upright,"['Art House & International', 'Drama', 'Horror']"
242,m/10011335-vengeance,Vengeance (Fuk sau),2010,2017,Fresh,Upright,"['Action & Adventure', 'Art House & International', 'Mystery & Suspense']"
243,m/10011379-new_world_order,New World Order,2009,2017,Rotten,Spilled,"['Documentary', 'Special Interest']"
244,m/1001138-april_fools_day,April Fool's Day,1986,2013,Rotten,Spilled,['Horror']
245,m/10011388-blood_the_last_vampire,Blood: The Last Vampire,2009,2014,Rotten,Spilled,"['Action & Adventure', 'Art House & International', 'Horror', 'Science Fiction & Fantasy']"
246,m/10011435-shrink,Shrink,2009,2016,Rotten,Spilled,"['Comedy', 'Drama']"
247,m/10011457-ong_bak_2_2009,Ong Bak 2,2009,2016,Rotten,Spilled,"['Action & Adventure', 'Art House & International']"
248,m/10011489-bananas,Bananas!,2009,2016,Fresh,Spilled,"['Art House & International', 'Documentary', 'Special Interest']"
249,m/10011494-last_ride,Last Ride,2012,2016,Fresh,Upright,['Drama']
250,m/10011582-TRON_legacy,Tron Legacy,2010,2015,Rotten,Upright,"['Action & Adventure', 'Science Fiction & Fantasy']"
251,m/10011647-canyon,The Canyon,2009,2013,Rotten,Spilled,"['Drama', 'Mystery & Suspense']"
252,m/10011699-leslie_my_name_is_evil,"Manson, My Name Is Evil",2009,2017,Fresh,Spilled,"['Comedy', 'Drama', 'Science Fiction & Fantasy']"
253,m/10011721-broken_hill,Broken Hill,2009,2016,Rotten,Upright,"['Drama', 'Kids & Family']"
254,m/10011735-beautiful_life,A Beautiful Life,2009,2019,Rotten,Spilled,['Drama']
255,m/10011736-suck,Suck,2010,2016,Rotten,Spilled,"['Comedy', 'Horror', 'Musical & Performing Arts']"
256,m/10011774-chloe,Chloe,2010,2012,Rotten,Spilled,"['Drama', 'Mystery & Suspense']"
257,m/1001180-armed_and_dangerous,Armed and Dangerous,1986,2012,Rotten,Spilled,['Comedy']
258,m/10011815-hole,The Hole,2012,2016,Fresh,Spilled,"['Kids & Family', 'Mystery & Suspense', 'Science Fiction & Fantasy']"
259,m/10011846-nobodys_perfect,NoBody's Perfect,2008,2016,Fresh,Upright,"['Art House & International', 'Documentary', 'Drama', 'Special Interest', 'Sports & Fitness']"
260,m/10011854-good_soldier,The Good Soldier,2009,2016,Fresh,Upright,"['Documentary', 'Drama', 'Special Interest', 'Television']"
261,m/10011857-high_life,High Life,2009,2016,Fresh,Spilled,['Comedy']
262,m/1001193-around_the_world_in_80_days,Around the World in 80 Days,1956,2017,Fresh,Spilled,"['Action & Adventure', 'Comedy', 'Drama', 'Kids & Family']"
263,m/10011943-fall,The Fall,2009,2016,Rotten,,"['Drama', 'Mystery & Suspense']"
264,m/10011944-good_heart,The Good Heart,2010,2017,Rotten,Spilled,['Drama']
265,m/10011946-wonderful_world,Wonderful World,2010,2016,Rotten,Spilled,"['Drama', 'Romance']"
266,m/10011949-collapse,Collapse,2009,2016,Certified-Fresh,Upright,"['Documentary', 'Special Interest']"
267,m/10011950-three_blind_mice,Three Blind Mice,,2017,Fresh,Spilled,"['Comedy', 'Drama']"
268,m/10011984-last_song,The Last Song,2010,2016,Rotten,Upright,"['Drama', 'Kids & Family', 'Romance']"
269,m/10012014-babies,Babies,2010,2015,Fresh,Upright,"['Documentary', 'Special Interest']"
270,m/10012039-lottery_ticket,Lottery Ticket,2010,2012,Rotten,Spilled,['Comedy']
271,m/10012042-going_the_distance,Going the Distance,2010,2012,Rotten,Spilled,"['Comedy', 'Romance']"
272,m/10012044-life_as_we_know_it,Life as We Know It,2010,2013,Rotten,Upright,"['Comedy', 'Drama']"
273,m/10012050-final,The Final,2010,2016,Rotten,Spilled,"['Drama', 'Horror', 'Mystery & Suspense']"
274,m/10012051-frozen,Frozen,2010,2016,Fresh,Spilled,"['Drama', 'Horror', 'Mystery & Suspense']"
275,m/10012058-prodigal_sons,Prodigal Sons,2010,2017,Fresh,Upright,"['Documentary', 'Special Interest']"
276,m/10012063-ghost_writer,The Ghost Writer,2010,2016,Certified-Fresh,Upright,"['Drama', 'Mystery & Suspense']"
277,m/10012068-repo_men,Repo Men,2010,2014,Rotten,Spilled,"['Action & Adventure', 'Science Fiction & Fantasy']"
278,m/10012104-7_days,7 Days (Les 7 jours du talion),2010,2017,Fresh,Upright,"['Art House & International', 'Horror', 'Mystery & Suspense']"
279,m/10012114-daddy_longlegs,Daddy Longlegs,2010,,Fresh,Spilled,"['Comedy', 'Drama']"
280,m/10012133-veer,Veer,2010,2017,Rotten,Spilled,"['Art House & International', 'Classics', 'Drama']"
281,m/10012136-winters_bone,Winter's Bone,2010,2015,Certified-Fresh,Upright,['Drama']
282,m/10012141-kids_are_all_right,The Kids Are All Right,2010,2015,Certified-Fresh,Upright,"['Comedy', 'Drama']"
283,m/10012147-lucky,Lucky,2010,2017,Fresh,Spilled,"['Documentary', 'Special Interest']"
284,m/10012150-high_school,High School,2012,2017,Rotten,Spilled,['Comedy']
285,m/10012207-stolen,Stolen,2010,2016,Rotten,Spilled,"['Drama', 'Mystery & Suspense']"
286,m/10012232-killing_jar,The Killing Jar,2010,2017,Rotten,Spilled,"['Drama', 'Mystery & Suspense']"
287,m/10012254-la_mission,La MISSION,2010,2017,Rotten,Upright,['Drama']
288,m/10012256-predators,Predators,2010,2015,Fresh,Spilled,"['Action & Adventure', 'Horror', 'Science Fiction & Fantasy']"
289,m/10012264-stonewall,Stonewall Uprising,2010,,Fresh,Upright,"['Documentary', 'Special Interest']"
290,m/10012282-oath,The Oath,2010,2016,Fresh,Upright,"['Documentary', 'Special Interest']"
291,m/10012288-wild_hunt,The Wild Hunt,2010,2012,Fresh,Upright,"['Drama', 'Mystery & Suspense', 'Science Fiction & Fantasy']"
292,m/1001240-arthur,Arthur,1981,2008,Fresh,Upright,"['Comedy', 'Romance']"
293,m/10012426-lottery,The Lottery,2010,2016,Fresh,Upright,"['Documentary', 'Special Interest']"
294,m/1001280-assault_on_precinct_13,Assault on Precinct 13,1976,2016,Certified-Fresh,Upright,"['Action & Adventure', 'Drama', 'Mystery & Suspense']"
295,m/1001294-asylum,Asylum,1972,2016,Fresh,Spilled,"['Documentary', 'Horror', 'Mystery & Suspense', 'Science Fiction & Fantasy', 'Special Interest', 'Romance']"
296,m/1001323-attack_of_the_50_foot_woman,Attack of the 50 Foot Woman,1958,2015,Fresh,Spilled,"['Classics', 'Science Fiction & Fantasy']"
297,m/1001406-avenging_angel,Avenging Angel,,2015,Rotten,Spilled,"['Action & Adventure', 'Drama', 'Mystery & Suspense']"
298,m/1001425-aviator,The Aviator,1985,2017,Rotten,Spilled,"['Action & Adventure', 'Drama']"
299,m/1001428-awakening,The Awakening,1980,2008,Rotten,Spilled,"['Horror', 'Mystery & Suspense']"
300,m/1001488-babes_in_toyland,Babes in Toyland,1961,2016,Rotten,Spilled,"['Kids & Family', 'Musical & Performing Arts', 'Science Fiction & Fantasy', 'Romance']"
301,m/1001553-bad_company,Bad Company,1972,2013,Fresh,Upright,"['Action & Adventure', 'Drama', 'Western']"
302,m/1001567-bad_news_bears,The Bad News Bears,1976,2013,Fresh,Upright,"['Classics', 'Comedy']"
303,m/1001572-bad_seed,The Bad Seed,1956,2016,Fresh,Upright,"['Classics', 'Drama', 'Horror', 'Mystery & Suspense']"
304,m/1001634-bang_the_drum_slowly,Bang The Drum Slowly,1973,2018,Fresh,Upright,"['Classics', 'Comedy', 'Drama', 'Sports & Fitness']"
305,m/1001816-battleground,Battleground,1949,2008,Fresh,Upright,"['Action & Adventure', 'Classics', 'Drama']"
306,m/1001902-beauty_and_the_beast,Beauty and The Beast (La Belle et la bête),1946,2017,Certified-Fresh,Upright,"['Drama', 'Science Fiction & Fantasy', 'Romance']"
307,m/1001994-belles_of_st_trinians,The Belles of St. Trinian's,,2020,Fresh,Upright,"['Action & Adventure', 'Classics', 'Comedy']"
308,m/1001_grams,1001 Grams,2015,2016,Fresh,Spilled,['Drama']
309,m/1002178-best_of_times,The Best of Times,1986,2017,Rotten,Spilled,"['Comedy', 'Drama']"
310,m/1002205-betrayed,Betrayed,1988,2016,Rotten,Spilled,"['Action & Adventure', 'Drama', 'Mystery & Suspense']"
311,m/1002306-big_brawl,The Big Brawl (Battle Creek Brawl),1980,2016,Fresh,Spilled,"['Action & Adventure', 'Comedy']"
312,m/1002310-big_business,Big Business,1988,2016,Rotten,Upright,['Comedy']
313,m/1002332-big_heat,The Big Heat,,2014,Fresh,Upright,"['Classics', 'Drama', 'Mystery & Suspense']"
314,m/1002352-big_sleep,The Big Sleep,1946,2015,Certified-Fresh,Upright,"['Classics', 'Drama', 'Mystery & Suspense']"
315,m/1002353-big_sleep,The Big Sleep,,2017,Fresh,Spilled,"['Art House & International', 'Drama', 'Mystery & Suspense']"
316,m/1002407-billy_budd,Billy Budd,1962,2017,Fresh,Upright,"['Action & Adventure', 'Classics', 'Drama']"
317,m/1002448-birds,The Birds,1963,2014,Certified-Fresh,Upright,"['Classics', 'Horror', 'Mystery & Suspense']"
318,m/1002484-black_christmas,Black Christmas,1974,2016,Fresh,Upright,"['Horror', 'Mystery & Suspense']"
319,m/1002497-black_hole,The Black Hole,1979,2016,Rotten,Spilled,"['Action & Adventure', 'Kids & Family', 'Science Fiction & Fantasy']"
320,m/1002511-black_pirate,The Black Pirate,1926,2016,Fresh,Upright,"['Action & Adventure', 'Classics']"
321,m/1002512-black_rain,Black Rain,,2013,Rotten,Spilled,"['Action & Adventure', 'Drama', 'Mystery & Suspense']"
322,m/1002526-black_sunday,Black Sunday,1977,2016,Fresh,Upright,"['Action & Adventure', 'Drama', 'Horror', 'Mystery & Suspense']"
323,m/1002531-black_widow,Black Widow,1987,2016,Rotten,Spilled,"['Drama', 'Mystery & Suspense']"
324,m/1002540-blackmail,Blackmail,1929,2016,Fresh,Upright,"['Classics', 'Drama', 'Mystery & Suspense']"
325,m/1002571-blind_date,Blind Date,1987,2012,Rotten,Spilled,"['Comedy', 'Drama']"
326,m/1002598-blood_and_sand,Blood and Sand,1941,2014,Fresh,Upright,"['Classics', 'Drama', 'Romance']"
327,m/1002611-blood_feast,Blood Feast,1963,2018,Rotten,Spilled,"['Classics', 'Horror']"
328,m/1002681-blue_angel,Der Blaue Engel (The Blue Angel),1930,2017,Certified-Fresh,Upright,"['Art House & International', 'Classics', 'Drama', 'Musical & Performing Arts']"
329,m/1002732-bluebeard,Bluebeard,1944,2017,Fresh,Spilled,"['Classics', 'Drama', 'Horror', 'Mystery & Suspense']"
330,m/1002907-border,The Border,1982,2016,Fresh,Spilled,"['Action & Adventure', 'Drama', 'Mystery & Suspense']"
331,m/1002930-born_yesterday,Born Yesterday,1950,2013,Fresh,Upright,"['Classics', 'Comedy', 'Drama']"
332,m/1002939-boston_strangler,The Boston Strangler,1968,2012,Fresh,Upright,"['Classics', 'Drama', 'Mystery & Suspense']"
333,m/1002947-bounty,The Bounty,1984,2016,Fresh,Upright,"['Action & Adventure', 'Drama']"
334,m/1002993-boys_from_brazil,The Boys from Brazil,1978,2016,Fresh,Upright,"['Action & Adventure', 'Drama', 'Mystery & Suspense']"
335,m/1003017-brainstorm,Brainstorm,1983,2009,Rotten,Spilled,"['Mystery & Suspense', 'Science Fiction & Fantasy']"
336,m/1003060-breakout,Breakout,,2012,Rotten,Spilled,['Action & Adventure']
337,m/1003075-brewsters_millions,Brewster's Millions,1985,2015,Rotten,Spilled,['Comedy']
338,m/1003076-brians_song,Brian's Song,1970,2013,Fresh,Upright,"['Classics', 'Drama', 'Television']"
339,m/1003094-brief_encounter,Brief Encounter,1945,2016,Certified-Fresh,Upright,"['Classics', 'Drama', 'Romance']"
340,m/1003119-broken_arrow,Broken Arrow,1950,2015,Fresh,Upright,"['Action & Adventure', 'Classics', 'Drama', 'Western', 'Romance']"
341,m/1003120-broken_blossoms,Broken Blossoms,1919,2016,Fresh,Upright,"['Classics', 'Drama', 'Romance']"
342,m/1003136-brotherhood,The Brotherhood,1968,2016,Fresh,Spilled,"['Action & Adventure', 'Classics', 'Drama']"
343,m/1003217-bug,Bug,1975,2014,Rotten,Spilled,"['Classics', 'Horror', 'Mystery & Suspense', 'Science Fiction & Fantasy']"
344,m/1003276-burglar,Burglar,1987,2009,Rotten,Spilled,"['Comedy', 'Drama']"
345,m/1003296-bus_stop,Bus Stop,1956,2015,Fresh,Upright,"['Comedy', 'Drama', 'Romance']"
346,m/1003318-butch_cassidy_and_the_sundance_kid,Butch Cassidy and the Sundance Kid,1969,2015,Certified-Fresh,Upright,"['Action & Adventure', 'Classics', 'Western']"
347,m/1003339-bye_bye_birdie,Bye Bye Birdie,1963,2012,Fresh,Upright,"['Classics', 'Comedy', 'Kids & Family', 'Musical & Performing Arts']"
348,m/1003399-calamity_jane,Calamity Jane,1953,2012,Fresh,Upright,"['Classics', 'Comedy', 'Musical & Performing Arts', 'Western', 'Romance']"
349,m/1003436-camelot,Camelot,1967,2016,Rotten,Upright,"['Action & Adventure', 'Classics', 'Comedy', 'Drama', 'Musical & Performing Arts', 'Science Fiction & Fantasy', 'Romance']"
350,m/1003441-camille,Camille,1936,2016,Fresh,Upright,"['Classics', 'Drama', 'Romance']"
351,m/1003492-cape_fear,Cape Fear,1962,2015,Fresh,Upright,"['Classics', 'Drama', 'Mystery & Suspense']"
352,m/1003499-captain_blood,Captain Blood,1935,2008,Fresh,Upright,"['Action & Adventure', 'Classics']"
353,m/1003531-captains_courageous,Captains Courageous,1937,2016,Fresh,Upright,"['Action & Adventure', 'Classics']"
354,m/1003612-carnival_of_souls,Carnival of Souls,1962,2012,Fresh,Upright,"['Classics', 'Comedy', 'Horror', 'Mystery & Suspense']"
355,m/1003617-carny,Carny,1980,2017,Rotten,Spilled,"['Drama', 'Horror']"
356,m/1003625-carrie,Carrie,1976,2015,Certified-Fresh,Upright,['Horror']
357,m/1003707-casablanca,Casablanca,1942,2008,Certified-Fresh,Upright,"['Classics', 'Drama', 'Romance']"
358,m/1003722-casino_royale,Casino Royale,1967,2016,Rotten,Spilled,"['Action & Adventure', 'Classics', 'Comedy']"
359,m/1003747-cat_and_the_canary,The Cat and the Canary,1927,2017,Fresh,Upright,"['Classics', 'Horror', 'Mystery & Suspense']"
360,m/1003755-cat_on_a_hot_tin_roof,Cat on a Hot Tin Roof,1958,,Fresh,Upright,"['Classics', 'Drama']"
361,m/1003757-cat_people,Cat People,1942,2016,Certified-Fresh,Upright,"['Drama', 'Horror', 'Romance']"
362,m/1003758-cat_people,Cat People,1982,2015,Fresh,Spilled,"['Drama', 'Horror', 'Mystery & Suspense']"
363,m/1003780-caught,Caught,1949,2014,Fresh,Upright,"['Classics', 'Drama', 'Mystery & Suspense']"
364,m/1003854-champ,The Champ,1979,2016,Rotten,Upright,"['Drama', 'Sports & Fitness']"
365,m/1003857-champion,Champion,1949,2013,Fresh,Upright,"['Classics', 'Drama']"
366,m/1003883-charade,Charade,1963,2015,Certified-Fresh,Upright,"['Classics', 'Comedy', 'Drama', 'Mystery & Suspense']"
367,m/1003952-charlottes_web,Charlotte's Web,1973,2016,Fresh,Upright,"['Animation', 'Kids & Family']"
368,m/1003957-chase,The Chase,1966,2012,Fresh,Upright,"['Classics', 'Drama']"
369,m/1003972-checking_out,Checking Out,1989,2017,Rotten,Spilled,['Comedy']
370,m/1004047-children_of_the_corn,Children of the Corn,1984,2016,Rotten,Spilled,"['Cult Movies', 'Horror', 'Mystery & Suspense']"
371,m/1004110-chosen,The Chosen,1981,2019,Fresh,Upright,['Drama']
372,m/1004125-christmas_carol,A Christmas Carol,1938,2008,Fresh,Upright,"['Classics', 'Drama', 'Kids & Family', 'Science Fiction & Fantasy']"
373,m/1004141-christmas_in_connecticut,Christmas in Connecticut,1945,2016,Fresh,Upright,"['Classics', 'Comedy']"
374,m/1004151-christmas_story,A Christmas Story,1983,2014,Certified-Fresh,Upright,"['Comedy', 'Drama', 'Kids & Family']"
375,m/1004177-cimarron,Cimarron,1931,2017,Rotten,Spilled,"['Classics', 'Drama', 'Western']"
376,m/1004330-cleopatra,Cleopatra,1963,2012,Fresh,Upright,"['Classics', 'Drama']"
377,m/1004463-college,College,1927,2016,Fresh,Upright,"['Classics', 'Comedy', 'Romance']"
378,m/1004485-colors,Colors,1988,2015,Fresh,Upright,"['Action & Adventure', 'Drama']"
379,m/1004502-coma,Coma,1978,2013,Fresh,Upright,"['Action & Adventure', 'Mystery & Suspense']"
380,m/1004567-commando,Commando,1985,2015,Fresh,Upright,['Action & Adventure']
381,m/1004703-convoy,Convoy,1978,2016,Rotten,Upright,"['Action & Adventure', 'Drama']"
382,m/1004790-countdown,Countdown,1968,2013,Fresh,Spilled,"['Action & Adventure', 'Documentary', 'Drama', 'Mystery & Suspense', 'Science Fiction & Fantasy']"
383,m/1004798-country_girl,The Country Girl,1954,2016,Fresh,Upright,"['Classics', 'Drama']"
384,m/1004832-cover_girl,Cover Girl,1944,2012,Fresh,Upright,"['Classics', 'Comedy', 'Musical & Performing Arts', 'Romance']"
385,m/1004906-creature_from_the_black_lagoon,Creature from the Black Lagoon,1954,2015,Certified-Fresh,Upright,"['Classics', 'Cult Movies', 'Horror', 'Science Fiction & Fantasy']"
386,m/1004995-crossroads,Crossroads,1986,2012,Fresh,Upright,['Drama']
387,m/1005090-cutting_class,Cutting Class,1989,2019,Rotten,Spilled,"['Comedy', 'Drama', 'Horror']"
388,m/1005152-damn_yankees,Damn Yankees,1958,2019,Fresh,Upright,"['Classics', 'Comedy', 'Drama', 'Musical & Performing Arts', 'Science Fiction & Fantasy']"
389,m/1005194-dangerous,Dangerous,1935,2012,Fresh,Upright,"['Classics', 'Drama']"
390,m/1005199-dangerous_liaisons,Dangerous Liaisons,1988,2008,Fresh,Upright,['Drama']
391,m/1005242-dark_mirror,The Dark Mirror,1946,2017,Fresh,Spilled,"['Drama', 'Mystery & Suspense']"
392,m/1005279-darling,Darling,1965,2014,Fresh,Upright,"['Art House & International', 'Classics', 'Comedy', 'Drama', 'Romance']"
393,m/1005360-day_of_the_dead,Day of the Dead,1985,2016,Fresh,Upright,['Horror']
394,m/1005371-day_the_earth_stood_still,The Day the Earth Stood Still,1951,2012,Certified-Fresh,Upright,"['Classics', 'Drama', 'Science Fiction & Fantasy']"
395,m/1005381-days_of_wine_and_roses,Days of Wine and Roses,1962,2013,Fresh,Upright,"['Classics', 'Drama']"
396,m/1005399-dead_heat,Dead Heat,1988,2016,Rotten,Spilled,"['Action & Adventure', 'Comedy', 'Horror', 'Mystery & Suspense']"
397,m/1005412-dead_reckoning,Dead Reckoning,1947,2012,Fresh,Upright,"['Classics', 'Drama', 'Mystery & Suspense']"
398,m/1005512-death_in_venice,Death in Venice,1971,2008,Fresh,Upright,['Drama']
399,m/1005521-death_of_a_salesman,Death of a Salesman,1985,2016,Fresh,Upright,"['Drama', 'Television']"
400,m/1005656-demons,Dèmoni (Demons),1985,2016,Fresh,Upright,"['Art House & International', 'Horror']"
401,m/1005724-desperate_hours,The Desperate Hours,1955,2017,Fresh,Upright,"['Classics', 'Drama', 'Mystery & Suspense']"
402,m/1005762-devil_doll,Devil Doll,1964,2019,Rotten,Spilled,"['Classics', 'Horror']"
403,m/1005865-dillinger,Dillinger,1973,2017,Fresh,Upright,"['Action & Adventure', 'Drama', 'Mystery & Suspense']"
404,m/1005875-dinner_at_eight,Dinner at Eight,1933,2009,Fresh,Upright,"['Classics', 'Comedy', 'Drama', 'Romance']"
405,m/1005967-distant_thunder,Distant Thunder,1988,2016,Rotten,Spilled,['Drama']
406,m/1006037-doctor_zhivago,Doctor Zhivago,1965,2016,Certified-Fresh,Upright,"['Classics', 'Drama', 'Television', 'Romance']"
407,m/1006042-dodge_city,Dodge City,1939,2012,Fresh,Upright,"['Classics', 'Western']"
408,m/1006068-dolls,Dolls,1987,2016,Fresh,Spilled,['Horror']
409,m/1006207-dr_jekyll_and_mr_hyde,Dr. Jekyll and Mr. Hyde,1931,2016,Certified-Fresh,Upright,"['Drama', 'Horror']"
410,m/1006223-how_the_grinch_stole_christmas,How the Grinch Stole Christmas,1967,2018,Fresh,Upright,"['Animation', 'Classics', 'Comedy', 'Kids & Family', 'Musical & Performing Arts', 'Television']"
411,m/1006234-dracula,Dracula,1931,2014,Certified-Fresh,Upright,"['Classics', 'Horror']"
412,m/1006235-dracula,Dracula,1973,2016,Fresh,Spilled,"['Horror', 'Mystery & Suspense']"
413,m/1006236-dracula,Dracula,1979,2014,Rotten,Spilled,"['Art House & International', 'Drama', 'Horror', 'Romance']"
414,m/1006250-dragnet,Dragnet,,2016,Rotten,Spilled,"['Action & Adventure', 'Comedy']"
415,m/1006287-dream_team,The Dream Team,1989,2016,Rotten,Upright,['Comedy']
416,m/1006299-dressed_to_kill,Dressed to Kill,1980,2016,Certified-Fresh,Upright,"['Drama', 'Horror', 'Mystery & Suspense']"
417,m/1006345-duel,Duel,1972,2015,Fresh,Upright,"['Mystery & Suspense', 'Television']"
418,m/1006364-dune,Dune,1984,2014,Rotten,Upright,['Science Fiction & Fantasy']
419,m/1006392-eagle_has_landed,The Eagle Has Landed,,2017,Fresh,Upright,"['Action & Adventure', 'Art House & International', 'Mystery & Suspense']"
420,m/1006416-east_of_eden,East of Eden,1955,2007,Fresh,Upright,"['Classics', 'Drama']"
421,m/1006425-easy_money,Easy Money,1983,2016,Fresh,Spilled,"['Action & Adventure', 'Comedy']"
422,m/1006438-eaten_alive,Eaten Alive,1977,2017,Rotten,Spilled,"['Horror', 'Mystery & Suspense']"
423,m/1006476-oedipus_rex,Edipo re (Oedipus Rex),1967,2016,Fresh,Upright,"['Art House & International', 'Drama']"
424,m/1006527-elephant_man,The Elephant Man,1980,2013,Certified-Fresh,Upright,['Drama']
425,m/1006646-enforcer,The Enforcer,1976,2016,Fresh,Spilled,"['Action & Adventure', 'Drama', 'Mystery & Suspense']"
